Rxn_1,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Min,Rxn_2_Max,v1,v2,Rxn1_Prod,Rxn2_Prod,g_min_Fluxes,g_max_Fluxes,l_min_Fluxes,l_max_Fluxes
AACPS3,0.125398496050902,0.125431166194247,3HAD160,0,1.45200953771685e-05,0,0,0.0157288795986693,0,0,-1.47515333281945e-11,NaN,NaN
AACPS3,0.125398496050902,0.125431166194247,3OAR160,0,1.45200954193569e-05,0,0,0.0157288795986693,0,0,-1.47792889038101e-11,NaN,NaN
AACPS3,0.125398496050902,0.125431166194247,3OAS160,0,1.45200953771685e-05,0,0,0.0157288795986693,0,0,-1.47515333281945e-11,NaN,NaN
AACPS4,0.147802802047531,0.147835472158668,3HAD161,0,1.45201229742042e-05,0,0,0.021850497027071,0,0,-1.47937218031302e-12,NaN,NaN
AACPS4,0.147802802047531,0.147835472158668,3OAR161,0,1.45201229742042e-05,0,0,0.021850497027071,0,0,-1.47937218031302e-12,NaN,NaN
AACPS4,0.147802802047531,0.147835472158668,3OAS161,0,1.45201229742042e-05,0,0,0.021850497027071,0,0,-1.47937218031302e-12,NaN,NaN
AACPS7,0.0764588444448501,0.0764915145475413,3HAD120,0,1.45200012315883e-05,0,0,0.00584845281214145,0,0,-0,NaN,NaN
AACPS7,0.0764588444448501,0.0764915145475413,3OAR120,0,1.45200012866553e-05,0,0,0.00584845281214145,0,0,-0,NaN,NaN
AACPS7,0.0764588444448501,0.0764915145475413,3OAS120,0,1.45200012315883e-05,0,0,0.00584845281214145,0,0,-0,NaN,NaN
ACACT1r,0.349700245433382,0.349704317856322,3HAD100,0,7.26000167372565e-06,0,0,0.122291685783469,0,0,-4.70138996226761e-12,NaN,NaN
ACACT1r,0.349700245433382,0.349704317856322,3HAD40,0,3.45715863647733e-06,0,-0.0157822625544668,0.122291685783469,0,0,-9.00982066731615e-12,NaN,NaN
ACACT1r,0.349700245433382,0.349704317856322,3HAD60,0,3.45716044558575e-06,0,0,0.122291685783469,0,0,2.9403701695685e-12,NaN,NaN
ACACT1r,0.349700245433382,0.349704317856322,3HAD80,0,3.45716215406355e-06,0,0,0.122291685783469,0,0,-5.7594623514845e-12,NaN,NaN
ACACT1r,0.349700245433382,0.349704317856322,3OAR100,0,7.2600016665092e-06,0,0,0.122291685783469,0,0,-4.66116034658626e-12,NaN,NaN
ACACT1r,0.349700245433382,0.349704317856322,3OAR40,0,3.45715864114027e-06,0,0,0.122291685783469,0,0,-8.98126018000767e-12,NaN,NaN
ACACT1r,0.349700245433382,0.349704317856322,3OAR60,0,3.45716046012967e-06,0,0,0.122291685783469,0,0,2.95585778076202e-12,NaN,NaN
ACACT1r,0.349700245433382,0.349704317856322,3OAR80,0,3.45716216543224e-06,0,0,0.122291685783469,0,0,-5.79802872380242e-12,NaN,NaN
ACACT1r,0.349700245433382,0.349704317856322,3OAS100,0,7.26000167372565e-06,0,0,0.122291685783469,0,0,-4.70138996226761e-12,NaN,NaN
ACACT1r,0.349700245433382,0.349704317856322,3OAS60,0,3.45716044558575e-06,0,0,0.122291685783469,0,0,2.9403701695685e-12,NaN,NaN
ACACT1r,0.349700245433382,0.349704317856322,3OAS80,0,3.45716215406355e-06,0,0,0.122291685783469,0,0,-5.7594623514845e-12,NaN,NaN
ACACT2r,0.349700245433382,0.349704317856322,3HAD100,0,7.26000167372565e-06,0,0,0.122291685783469,0,0,-0,NaN,NaN
ACACT2r,0.349700245433382,0.349704317856322,3HAD40,0,3.45715863647733e-06,0,-0.0157822625544668,0.122291685783469,0,0,-1.07852338171455e-11,NaN,NaN
ACACT2r,0.349700245433382,0.349704317856322,3HAD60,0,3.45716044558575e-06,0,0,0.122291685783469,0,0,8.97171226199589e-13,NaN,NaN
ACACT2r,0.349700245433382,0.349704317856322,3HAD80,0,3.45716215406355e-06,0,0,0.122291685783469,0,0,-9.49004763661776e-12,NaN,NaN
ACACT2r,0.349700245433382,0.349704317856322,3OAR100,0,7.2600016665092e-06,0,0,0.122291685783469,0,0,-0,NaN,NaN
ACACT2r,0.349700245433382,0.349704317856322,3OAR40,0,3.45715864114027e-06,0,0,0.122291685783469,0,0,-1.08002495835535e-11,NaN,NaN
ACACT2r,0.349700245433382,0.349704317856322,3OAR60,0,3.45716046012967e-06,0,0,0.122291685783469,0,0,9.09494701772928e-13,NaN,NaN
ACACT2r,0.349700245433382,0.349704317856322,3OAR80,0,3.45716216543224e-06,0,0,0.122291685783469,0,0,-9.43600753089413e-12,NaN,NaN
ACACT2r,0.349700245433382,0.349704317856322,3OAS100,0,7.26000167372565e-06,0,0,0.122291685783469,0,0,-0,NaN,NaN
ACACT2r,0.349700245433382,0.349704317856322,3OAS60,0,3.45716044558575e-06,0,0,0.122291685783469,0,0,8.97171226199589e-13,NaN,NaN
ACACT2r,0.349700245433382,0.349704317856322,3OAS80,0,3.45716215406355e-06,0,0,0.122291685783469,0,0,-9.49004763661776e-12,NaN,NaN
ACACT3r,0.349700245443728,0.349703897762424,3HAD100,0,7.26000167372565e-06,0,0,0.122291538880148,0,0,-1.42476030973171e-11,NaN,NaN
ACACT3r,0.349700245443728,0.349703897762424,3HAD40,0,3.45715863647733e-06,0,-0.0157822625544668,0.122291538880148,0,0,-2.1085355683681e-12,NaN,NaN
ACACT3r,0.349700245443728,0.349703897762424,3HAD60,0,3.45716044558575e-06,0,0,0.122291538880148,0,0,-2.5631718969521e-12,NaN,NaN
ACACT3r,0.349700245443728,0.349703897762424,3HAD80,0,3.45716215406355e-06,0,0,0.122291538880148,0,0,-5.73230352074461e-12,NaN,NaN
ACACT3r,0.349700245443728,0.349703897762424,3OAR100,0,7.2600016665092e-06,0,0,0.122291538880148,0,0,-1.4210854715202e-11,NaN,NaN
ACACT3r,0.349700245443728,0.349703897762424,3OAR40,0,3.45715864114027e-06,0,0,0.122291538880148,0,0,-2.1600499167107e-12,NaN,NaN
ACACT3r,0.349700245443728,0.349703897762424,3OAR60,0,3.45716046012967e-06,0,0,0.122291538880148,0,0,-2.61479726759717e-12,NaN,NaN
ACACT3r,0.349700245443728,0.349703897762424,3OAR80,0,3.45716216543224e-06,0,0,0.122291538880148,0,0,-5.6843418860808e-12,NaN,NaN
ACACT3r,0.349700245443728,0.349703897762424,3OAS100,0,7.26000167372565e-06,0,0,0.122291538880148,0,0,-1.42476030973171e-11,NaN,NaN
ACACT3r,0.349700245443728,0.349703897762424,3OAS60,0,3.45716044558575e-06,0,0,0.122291538880148,0,0,-2.5631718969521e-12,NaN,NaN
ACACT3r,0.349700245443728,0.349703897762424,3OAS80,0,3.45716215406355e-06,0,0,0.122291538880148,0,0,-5.73230352074461e-12,NaN,NaN
ACACT4r,0.349696442532945,0.349703914881161,3HAD100,0,7.26000167372565e-06,0,0,0.122290214973786,0,0,6.46138698101595e-12,NaN,NaN
ACACT4r,0.349696442532945,0.349703914881161,3OAR100,0,7.2600016665092e-06,0,0,0.122290214973786,0,0,6.48014975013211e-12,NaN,NaN
ACACT4r,0.349696442532945,0.349703914881161,3OAS100,0,7.26000167372565e-06,0,0,0.122290214973786,0,0,6.46138698101595e-12,NaN,NaN
ACOAD1f,-0.349704317856322,-0.349700245433382,3HAD100,0,7.26000167372565e-06,0,0,0.122291685783469,0,NaN,NaN,0,-0
ACOAD1f,-0.349704317856322,-0.349700245433382,3HAD40,0,3.45715863647733e-06,0,-0.0157822625544668,0.122291685783469,0,NaN,NaN,0,-1.07852338171455e-11
ACOAD1f,-0.349704317856322,-0.349700245433382,3HAD60,0,3.45716044558575e-06,0,0,0.122291685783469,0,NaN,NaN,0,8.97171226199589e-13
ACOAD1f,-0.349704317856322,-0.349700245433382,3HAD80,0,3.45716215406355e-06,0,0,0.122291685783469,0,NaN,NaN,0,-9.49004763661776e-12
ACOAD1f,-0.349704317856322,-0.349700245433382,3OAR100,0,7.2600016665092e-06,0,0,0.122291685783469,0,NaN,NaN,0,-0
ACOAD1f,-0.349704317856322,-0.349700245433382,3OAR40,0,3.45715864114027e-06,0,0,0.122291685783469,0,NaN,NaN,0,-1.08002495835535e-11
ACOAD1f,-0.349704317856322,-0.349700245433382,3OAR60,0,3.45716046012967e-06,0,0,0.122291685783469,0,NaN,NaN,0,9.09494701772928e-13
ACOAD1f,-0.349704317856322,-0.349700245433382,3OAR80,0,3.45716216543224e-06,0,0,0.122291685783469,0,NaN,NaN,0,-9.43600753089413e-12
ACOAD1f,-0.349704317856322,-0.349700245433382,3OAS100,0,7.26000167372565e-06,0,0,0.122291685783469,0,NaN,NaN,0,-0
ACOAD1f,-0.349704317856322,-0.349700245433382,3OAS60,0,3.45716044558575e-06,0,0,0.122291685783469,0,NaN,NaN,0,8.97171226199589e-13
ACOAD1f,-0.349704317856322,-0.349700245433382,3OAS80,0,3.45716215406355e-06,0,0,0.122291685783469,0,NaN,NaN,0,-9.49004763661776e-12
ACOAD2f,-0.349704317856322,-0.349700245433382,3HAD100,0,7.26000167372565e-06,0,0,0.122291685783469,0,NaN,NaN,0,-0
ACOAD2f,-0.349704317856322,-0.349700245433382,3HAD40,0,3.45715863647733e-06,0,-0.0157822625544668,0.122291685783469,0,NaN,NaN,0,-1.07852338171455e-11
ACOAD2f,-0.349704317856322,-0.349700245433382,3HAD60,0,3.45716044558575e-06,0,0,0.122291685783469,0,NaN,NaN,0,8.97171226199589e-13
ACOAD2f,-0.349704317856322,-0.349700245433382,3HAD80,0,3.45716215406355e-06,0,0,0.122291685783469,0,NaN,NaN,0,-9.49004763661776e-12
ACOAD2f,-0.349704317856322,-0.349700245433382,3OAR100,0,7.2600016665092e-06,0,0,0.122291685783469,0,NaN,NaN,0,-0
ACOAD2f,-0.349704317856322,-0.349700245433382,3OAR40,0,3.45715864114027e-06,0,0,0.122291685783469,0,NaN,NaN,0,-1.08002495835535e-11
ACOAD2f,-0.349704317856322,-0.349700245433382,3OAR60,0,3.45716046012967e-06,0,0,0.122291685783469,0,NaN,NaN,0,9.09494701772928e-13
ACOAD2f,-0.349704317856322,-0.349700245433382,3OAR80,0,3.45716216543224e-06,0,0,0.122291685783469,0,NaN,NaN,0,-9.43600753089413e-12
ACOAD2f,-0.349704317856322,-0.349700245433382,3OAS100,0,7.26000167372565e-06,0,0,0.122291685783469,0,NaN,NaN,0,-0
ACOAD2f,-0.349704317856322,-0.349700245433382,3OAS60,0,3.45716044558575e-06,0,0,0.122291685783469,0,NaN,NaN,0,8.97171226199589e-13
ACOAD2f,-0.349704317856322,-0.349700245433382,3OAS80,0,3.45716215406355e-06,0,0,0.122291685783469,0,NaN,NaN,0,-9.49004763661776e-12
