,Rxn_1,Rxn_2,Rxn_1_Class,Rxn_2_Class,Subsystem 1,Subsystem 2
0,ADPT,ADD,pFBAOpt_Rxns,MLE_Rxns,Salvage pathway of ATP,Purine metabolism
1,ADPT,HXPRT,pFBAOpt_Rxns,MLE_Rxns,Salvage pathway of ATP,Salvage pathway of GTP
2,ALAD_L,FADOX,pFBAOpt_Rxns,MLE_Rxns,Alanine Metabolism,Respiratory chain
3,ANS2,ANS,pFBAOpt_Rxns,MLE_Rxns,Chorismate Metabolism,Tryptophan Biosynthesis
4,DHPS,FOLD3,pFBAOpt_Rxns,MLE_Rxns,Folate Biosynthesis,Folate Biosynthesis
5,DHPS,HPPK,pFBAOpt_Rxns,MLE_Rxns,Folate Biosynthesis,Folate Biosynthesis
6,CAT,CCP,pFBAOpt_Rxns,MLE_Rxns,ROS Detoxification,ROS Detoxification
7,GARFT,FTHFD,pFBAOpt_Rxns,MLE_Rxns,IMP Synthesis,THF Metabolism
8,GART,FTHFLi,pFBAOpt_Rxns,ELE_Rxns,IMP Synthesis,THF Metabolism
9,HCO3E,H2CO3D2,pFBAOpt_Rxns,ELE_Rxns,Others,Others
10,HEMEti,CPPPGO,ZeroFlux_Rxns,pFBAOpt_Rxns,Transport,Heme biosynthesis
11,HEMEti,FCLT,ZeroFlux_Rxns,pFBAOpt_Rxns,Transport,Heme biosynthesis
12,HEMEti,FE2abc,ZeroFlux_Rxns,pFBAOpt_Rxns,Transport,Transport
13,HEMEti,GLUTRR,ZeroFlux_Rxns,pFBAOpt_Rxns,Transport,Heme biosynthesis
14,HEMEti,GLUTRS,ZeroFlux_Rxns,pFBAOpt_Rxns,Transport,Heme biosynthesis
15,HEMEti,G1SAT,ZeroFlux_Rxns,pFBAOpt_Rxns,Transport,Heme biosynthesis
16,HEMEti,HMBS,ZeroFlux_Rxns,pFBAOpt_Rxns,Transport,Heme biosynthesis
17,HEMEti,PPBNGS,ZeroFlux_Rxns,pFBAOpt_Rxns,Transport,Heme biosynthesis
18,HEMEti,PPPGO,ZeroFlux_Rxns,pFBAOpt_Rxns,Transport,Heme biosynthesis
19,HEMEti,UPP3S,ZeroFlux_Rxns,pFBAOpt_Rxns,Transport,Heme biosynthesis
20,HEMEti,UPPDC1,ZeroFlux_Rxns,pFBAOpt_Rxns,Transport,Heme biosynthesis
21,ME1,AKO,pFBAOpt_Rxns,MLE_Rxns,Others,TCA cycle
22,ME1,FADOX,pFBAOpt_Rxns,MLE_Rxns,Others,Respiratory chain
23,KAS15,ACOATA,pFBAOpt_Rxns,ELE_Rxns,Fatty Acid Synthesis,Fatty Acid Synthesis
24,KAS15,KAS14,pFBAOpt_Rxns,ELE_Rxns,Fatty Acid Synthesis,Fatty Acid Synthesis
25,NH4t,ARGSL,pFBAOpt_Rxns,MLE_Rxns,Transport,Urea Cycle
26,NH4t,ARGSS,pFBAOpt_Rxns,MLE_Rxns,Transport,Urea Cycle
27,NH4t,OCBT,pFBAOpt_Rxns,MLE_Rxns,Transport,Urea Cycle
28,NH4t,UREAt,pFBAOpt_Rxns,MLE_Rxns,Transport,Transport
29,TKT2,GND,pFBAOpt_Rxns,MLE_Rxns,Pentose-Phosphate-Pathway,Pentose-Phosphate-Pathway
30,TKT2,PGL,pFBAOpt_Rxns,MLE_Rxns,Pentose-Phosphate-Pathway,Pentose-Phosphate-Pathway
31,TRPS1,TRPS2,pFBAOpt_Rxns,ELE_Rxns,Tryptophan Biosynthesis,Tryptophan Biosynthesis
32,TRPS1,TRPS3,pFBAOpt_Rxns,ELE_Rxns,Tryptophan Biosynthesis,Tryptophan Biosynthesis
33,UREA,UREAt,pFBAOpt_Rxns,MLE_Rxns,Urea Cycle,Transport
34,URIDK2r,DUTPDP,pFBAOpt_Rxns,MLE_Rxns,dTTP Biosynthesis,dTTP Biosynthesis
35,RNDR4,DCTPD,pFBAOpt_Rxns,MLE_Rxns,dUTP Biosynthesis,Nucleotide Interconversion
36,RPE,GND,pFBAOpt_Rxns,MLE_Rxns,Pentose-Phosphate-Pathway,Pentose-Phosphate-Pathway
37,RPE,PGL,pFBAOpt_Rxns,MLE_Rxns,Pentose-Phosphate-Pathway,Pentose-Phosphate-Pathway
38,ALAR,DALAt2r,pFBAOpt_Rxns,pFBAOpt_Rxns,Alanine Metabolism,Transport
39,ATPS4r,ACKr,pFBAOpt_Rxns,pFBAOpt_Rxns,Respiratory chain,Others
40,ATPS4r,ACt2r,pFBAOpt_Rxns,pFBAOpt_Rxns,Respiratory chain,Transport
41,GART,GARFT,pFBAOpt_Rxns,pFBAOpt_Rxns,IMP Synthesis,IMP Synthesis
42,G3PD2,G3PD1ir,pFBAOpt_Rxns,pFBAOpt_Rxns,Glycerolipid Synthesis,Glycerolipid Synthesis
43,HCO3E,H2CO3D,pFBAOpt_Rxns,ELE_Rxns,Others,Others
