,Rxn_1,Rxn_2,Rxn_1_Class,Rxn_2_Class,Subsystem 1,Subsystem 2
0,3HAD180,ACOAD8f,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
1,3HAD180,AACPS6,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
2,3HAD180,FACOAE180,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
3,3HAD180,FACOAL181t2pp,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
4,3HAD180,CTECOAI8,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
5,3OAR120,AACPS7,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
6,3OAR120,ECOAH6,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
7,3OAR120,FACOAE120,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
8,3OAR120,HACD6i,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
9,3OAR120,ACACT9,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
10,3OAR160,AACPS3,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
11,3OAR160,FACOAE160,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
12,3OAR180,ACOAD8f,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
13,3OAR180,AACPS6,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
14,3OAR180,FACOAE180,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
15,3OAR180,FACOAL181t2pp,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
16,3OAR180,CTECOAI8,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
17,3OAS120,AACPS7,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
18,3OAS120,ECOAH6,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
19,3OAS120,FACOAE120,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
20,3OAS120,HACD6i,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
21,3OAS120,ACACT9,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
22,3OAS160,AACPS3,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
23,3OAS160,FACOAE160,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
24,3OAS180,ACOAD8f,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
25,3OAS180,AACPS6,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
26,3OAS180,FACOAE180,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
27,3OAS180,FACOAL181t2pp,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
28,3OAS180,CTECOAI8,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
29,3HAD120,AACPS7,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
30,3HAD120,ECOAH6,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
31,3HAD120,FACOAE120,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
32,3HAD120,HACD6i,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
33,3HAD120,ACACT9,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
34,3HAD140,AACPS1,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
35,3HAD140,FACOAE140,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
36,3HAD160,AACPS3,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
37,3HAD160,FACOAE160,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
38,ADK1,ADK3,ELE_Rxns,ELE_Rxns,Nucleotide Salvage Pathway,Nucleotide Salvage Pathway
39,ASNS2,ASNS1,ELE_Rxns,ELE_Rxns,Alanine and Aspartate Metabolism,Alanine and Aspartate Metabolism
40,ATPM,pa2_ST,pFBAOpt_Rxns,Essential_Rxns,Biomass and maintenance functions,Phospholipid Metabolism
41,ATPM,ps2_ST,pFBAOpt_Rxns,Essential_Rxns,Biomass and maintenance functions,Phospholipid Metabolism
42,DHORD2,DHORD5,ELE_Rxns,ELE_Rxns,Purine and Pyrimidine Biosynthesis,Purine and Pyrimidine Biosynthesis
43,EAR121x,EAR121y,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
44,EAR141x,EAR141y,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
45,DKMPPD3,DKMPPD,MLE_Rxns,MLE_Rxns,Arginine and Proline Metabolism,Arginine and Proline Metabolism
46,EAR161x,EAR161y,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
47,EAR181x,EAR181y,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
48,EAR40x,EAR40y,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
49,EAR60x,EAR60y,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
50,EAR80x,EAR80y,ELE_Rxns,ELE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
51,FORtppi,GART,ELE_Rxns,ELE_Rxns,Transport Inner Membrane,Purine and Pyrimidine Biosynthesis
52,G5SD,NACODA,ELE_Rxns,ELE_Rxns,Arginine and Proline Metabolism,Arginine and Proline Metabolism
53,FUM,SUCCt3pp,pFBAOpt_Rxns,ELE_Rxns,Citric Acid Cycle,Transport Inner Membrane
54,GARFT,GART,ELE_Rxns,ELE_Rxns,Purine and Pyrimidine Biosynthesis,Purine and Pyrimidine Biosynthesis
55,GLCtex,GLCtex,pFBAOpt_Rxns,pFBAOpt_Rxns,Transport Outer Membrane,Transport Outer Membrane
56,GLYCtpp,GLYCtex,ELE_Rxns,ELE_Rxns,Transport Inner Membrane,Transport Outer Membrane Porin
57,GLU5K,NACODA,ELE_Rxns,ELE_Rxns,Arginine and Proline Metabolism,Arginine and Proline Metabolism
58,GLUDy,GLUSy,ELE_Rxns,ELE_Rxns,Glutamate Metabolism,Glutamate metabolism
59,KAS15,KAS14,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Membrane Lipid Metabolism
60,Kt2pp,Kabcpp,ELE_Rxns,ELE_Rxns,Inorganic Ion Transport and Metabolism,Inorganic Ion Transport and Metabolism
61,NDPK1,ADK3,ELE_Rxns,ELE_Rxns,Nucleotide Salvage Pathway,Nucleotide Salvage Pathway
62,MTHFC,GART,ELE_Rxns,ELE_Rxns,Folate Metabolism,Purine and Pyrimidine Biosynthesis
